,State,Area,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Robbery,Rape (legacy definition),Aggravated assault
0,ALABAMA,Metropolitan Statistical Area,3708033.0,18122.0,283.0,1496.0,4080.0,1080.0,12263.0
1,ALABAMA,Cities outside metropolitan areas,522241.0,3178.0,32.0,311.0,354.0,218.0,2481.0
2,ALABAMA,Nonmetropolitan counties,628705.0,1205.0,28.0,186.0,112.0,122.0,879.0
4,ALASKA,Metropolitan Statistical Area,351857.0,3464.0,27.0,541.0,658.0,401.0,2238.0
5,ALASKA,Cities outside metropolitan areas,127499.0,886.0,10.0,178.0,60.0,128.0,638.0
6,ALASKA,Nonmetropolitan counties,259076.0,1015.0,22.0,176.0,41.0,116.0,776.0
8,ARIZONA,Metropolitan Statistical Area,6479810.0,24725.0,280.0,2805.0,6239.0,2072.0,15401.0
9,ARIZONA,Cities outside metropolitan areas,124240.0,2678.0,24.0,269.0,91.0,199.0,2294.0
10,ARIZONA,Nonmetropolitan counties,224015.0,380.0,3.0,11.0,12.0,7.0,354.0
12,ARKANSAS,Metropolitan Statistical Area,1837196.0,10724.0,124.0,1133.0,1673.0,838.0,7794.0
13,ARKANSAS,Cities outside metropolitan areas,515124.0,2724.0,36.0,406.0,333.0,248.0,1949.0
14,ARKANSAS,Nonmetropolitan counties,625884.0,1559.0,15.0,292.0,47.0,143.0,1205.0
16,CALIFORNIA,Metropolitan Statistical Area,38317995.0,163195.0,1815.0,12411.0,52439.0,9116.0,96530.0
17,CALIFORNIA,Cities outside metropolitan areas,268497.0,1630.0,15.0,151.0,245.0,106.0,1219.0
18,CALIFORNIA,Nonmetropolitan counties,558326.0,2034.0,31.0,247.0,170.0,164.0,1586.0
20,COLORADO,Metropolitan Statistical Area,4763884.0,16306.0,164.0,2991.0,3235.0,2196.0,9916.0
21,COLORADO,Cities outside metropolitan areas,335080.0,750.0,6.0,167.0,75.0,119.0,502.0
22,COLORADO,Nonmetropolitan counties,357610.0,430.0,6.0,95.0,11.0,58.0,318.0
24,CONNECTICUT,Metropolitan Statistical Area,2951843.0,7441.0,102.0,694.0,2819.0,521.0,3826.0
25,CONNECTICUT,Cities outside metropolitan areas,114485.0,110.0,1.0,23.0,27.0,20.0,59.0
26,CONNECTICUT,Nonmetropolitan counties,524558.0,294.0,14.0,56.0,46.0,41.0,178.0
28,DELAWARE,Metropolitan Statistical Area,945934.0,4720.0,63.0,341.0,1235.0,243.0,3081.0
32,DISTRICT OF COLUMBIA,Metropolitan Statistical Area,672228.0,8531.0,162.0,494.0,3742.0,366.0,4133.0
36,FLORIDA,Metropolitan Statistical Area,19564380.0,89825.0,999.0,7321.0,20811.0,5273.0,60694.0
37,FLORIDA,Cities outside metropolitan areas,147871.0,1032.0,12.0,54.0,160.0,37.0,806.0
38,FLORIDA,Nonmetropolitan counties,559021.0,2555.0,29.0,162.0,126.0,108.0,2238.0
40,GEORGIA,Metropolitan Statistical Area,8441820.0,32186.0,508.0,2568.0,11058.0,1845.0,18052.0
41,GEORGIA,Cities outside metropolitan areas,643253.0,2910.0,41.0,258.0,691.0,191.0,1920.0
42,GEORGIA,Nonmetropolitan counties,1129787.0,2334.0,48.0,294.0,170.0,186.0,1822.0
44,HAWAII,Metropolitan Statistical Area,1164233.0,2994.0,19.0,412.0,1009.0,302.0,1554.0
48,IDAHO,Metropolitan Statistical Area,1104754.0,2537.0,19.0,497.0,150.0,369.0,1871.0
49,IDAHO,Cities outside metropolitan areas,253084.0,598.0,7.0,122.0,34.0,104.0,435.0
50,IDAHO,Nonmetropolitan counties,297092.0,432.0,6.0,75.0,8.0,60.0,343.0
52,ILLINOIS,Metropolitan Statistical Area,11374234.0,44926.0,690.0,4050.0,14460.0,2989.0,25726.0
53,ILLINOIS,Cities outside metropolitan areas,829658.0,2168.0,18.0,357.0,182.0,257.0,1611.0
54,ILLINOIS,Nonmetropolitan counties,656103.0,950.0,24.0,195.0,36.0,131.0,695.0
56,INDIANA,Metropolitan Statistical Area,5150613.0,21779.0,323.0,1853.0,6625.0,1384.0,12978.0
57,INDIANA,Cities outside metropolitan areas,522395.0,1152.0,12.0,158.0,135.0,114.0,847.0
58,INDIANA,Nonmetropolitan counties,946672.0,729.0,15.0,137.0,49.0,104.0,528.0
60,IOWA,Metropolitan Statistical Area,1840338.0,5986.0,53.0,782.0,894.0,581.0,4257.0
61,IOWA,Cities outside metropolitan areas,594976.0,2110.0,9.0,249.0,136.0,192.0,1716.0
62,IOWA,Nonmetropolitan counties,688585.0,734.0,10.0,111.0,10.0,67.0,603.0
64,KANSAS,Metropolitan Statistical Area,1965292.0,8382.0,93.0,1189.0,1616.0,928.0,5484.0
65,KANSAS,Cities outside metropolitan areas,607622.0,2022.0,24.0,291.0,165.0,231.0,1542.0
66,KANSAS,Nonmetropolitan counties,338727.0,711.0,9.0,106.0,15.0,70.0,581.0
68,KENTUCKY,Metropolitan Statistical Area,2589701.0,7446.0,124.0,852.0,2836.0,573.0,3634.0
69,KENTUCKY,Cities outside metropolitan areas,540143.0,906.0,13.0,170.0,312.0,123.0,411.0
70,KENTUCKY,Nonmetropolitan counties,1295248.0,1324.0,72.0,470.0,159.0,301.0,623.0
72,LOUISIANA,Metropolitan Statistical Area,3907874.0,21722.0,433.0,1522.0,5123.0,1113.0,14644.0
73,LOUISIANA,Cities outside metropolitan areas,248611.0,1603.0,18.0,68.0,263.0,49.0,1254.0
74,LOUISIANA,Nonmetropolitan counties,514239.0,1350.0,24.0,99.0,83.0,71.0,1144.0
76,MAINE,Metropolitan Statistical Area,785828.0,996.0,7.0,222.0,245.0,174.0,522.0
77,MAINE,Cities outside metropolitan areas,265131.0,464.0,10.0,169.0,55.0,128.0,230.0
78,MAINE,Nonmetropolitan counties,278369.0,269.0,6.0,83.0,11.0,52.0,169.0
80,MARYLAND,Metropolitan Statistical Area,5855016.0,26972.0,515.0,1623.0,9757.0,1152.0,15077.0
81,MARYLAND,Cities outside metropolitan areas,52865.0,324.0,0.0,22.0,75.0,17.0,227.0
82,MARYLAND,Nonmetropolitan counties,98520.0,166.0,1.0,21.0,31.0,15.0,113.0
84,MASSACHUSETTS,Metropolitan Statistical Area,6695032.0,25477.0,124.0,1965.0,5160.0,1520.0,18228.0
85,MASSACHUSETTS,Cities outside metropolitan areas,91950.0,337.0,2.0,36.0,18.0,31.0,281.0
86,MASSACHUSETTS,Nonmetropolitan counties,7440.0,6.0,0.0,2.0,0.0,1.0,4.0
88,MICHIGAN,Metropolitan Statistical Area,8121585.0,36719.0,528.0,4829.0,7663.0,3119.0,23699.0
89,MICHIGAN,Cities outside metropolitan areas,599913.0,1443.0,8.0,491.0,60.0,331.0,884.0
90,MICHIGAN,Nonmetropolitan counties,1201078.0,2813.0,35.0,1049.0,47.0,653.0,1682.0
92,MINNESOTA,Metropolitan Statistical Area,4254071.0,11461.0,104.0,1813.0,3633.0,1327.0,5911.0
93,MINNESOTA,Cities outside metropolitan areas,533363.0,1130.0,12.0,292.0,119.0,213.0,707.0
94,MINNESOTA,Nonmetropolitan counties,702160.0,728.0,17.0,216.0,19.0,146.0,476.0
96,MISSISSIPPI,Metropolitan Statistical Area,1372083.0,3343.0,95.0,431.0,1195.0,323.0,1622.0
97,MISSISSIPPI,Cities outside metropolitan areas,585231.0,1147.0,43.0,148.0,371.0,108.0,585.0
98,MISSISSIPPI,Nonmetropolitan counties,1035019.0,834.0,27.0,154.0,101.0,101.0,552.0
100,MISSOURI,Metropolitan Statistical Area,4532929.0,25261.0,441.0,2105.0,6029.0,1531.0,16686.0
