State,City,,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4
ALABAMA,HUNTSVILLE,2015,"190,106",723,5,65,,173,480,"4,121",836,"2,903",382,
,,2016,,876,10,80,,213,573,"4,565",881,"3,279",405,
ALASKA,ANCHORAGE,2015,"301,239","1,615",16,323,,271,"1,005","5,732",811,"4,516",405,63
,,2016,,"1,692",9,302,,326,"1,055","6,853","1,031","4,901",921,38
ARIZONA,CHANDLER,2015,"258,875",206,0,26,,51,129,"2,524",384,"2,033",107,26
,,2016,,272,1,61,,69,141,"2,987",453,"2,373",161,8
,GILBERT,2015,"247,324",95,2,14,,14,65,"1,628",253,"1,310",65,12
,,2016,,108,1,22,,14,71,"1,694",297,"1,330",67,13
,MESA,2015,"471,034","1,019",6,142,,219,652,"5,995","1,041","4,591",363,40
,,2016,,"1,069",12,146,,210,701,"5,517","1,010","4,090",417,21
,PEORIA,2015,"170,222",145,1,16,,25,103,"1,677",368,"1,207",102,5
,,2016,,166,1,14,,41,110,"1,865",298,"1,444",123,2
,SCOTTSDALE,2015,"233,872",189,3,48,,53,85,"2,580",398,"2,091",91,4
,,2016,,197,2,55,,59,81,"2,904",356,"2,436",112,8
,TEMPE,2015,"175,556",348,2,47,,83,216,"3,731",531,"3,043",157,30
,,2016,,437,3,73,,108,253,"4,050",599,"3,234",217,20
,TUCSON,2015,"529,675","1,706",16,213,,516,961,"16,680","1,784","13,919",977,58
,,2016,,"1,988",11,221,,537,"1,219","15,773","1,850","13,092",831,72
ARKANSAS,LITTLE ROCK,2015,"198,647","1,310",14,79,,306,911,"6,100","1,169","4,556",375,47
,,2016,,"1,415",16,79,,302,"1,018","6,476","1,086","4,857",533,27
CALIFORNIA,ANAHEIM,2015,"349,471",628,10,65,,211,342,"5,018",724,"3,472",822,20
,,2016,,620,4,70,,183,363,"5,151",759,"3,677",715,17
,ANTIOCH,2015,"110,537",387,2,31,,135,219,"1,931",496,895,540,18
,,2016,,396,7,25,,165,199,"1,756",367,883,506,27
,BAKERSFIELD,2015,"373,887",879,12,38,,324,505,"7,748","1,885","4,661","1,202",204
,,2016,,925,22,34,,289,580,"8,264","1,932","4,898","1,434",
,BERKELEY,2015,"120,387",269,0,20,,165,84,"2,909",587,"1,971",351,9
,,2016,,262,0,27,,151,84,"2,637",437,"1,888",312,20
,BURBANK,2015,"105,865",69,0,5,,25,39,"1,282",143,"1,047",92,4
,,2016,,104,0,11,,23,70,"1,358",202,"1,038",118,8
,CARLSBAD,2015,"113,972",88,0,15,,18,55,"1,028",188,782,58,5
,,2016,,89,0,18,,25,46,"1,137",192,863,82,4
,CHULA VISTA,2015,"265,215",318,2,30,,121,165,"2,210",305,"1,511",394,17
,,2016,,362,0,33,,97,232,"2,377",374,"1,554",449,17
,CLOVIS,2015,"103,769",114,1,13,,27,73,"1,591",208,"1,271",112,1
,,2016,,131,2,18,,35,76,"1,506",215,"1,178",113,3
,CONCORD,2015,"128,767",241,0,15,,91,135,"2,367",338,"1,512",517,4
